Token,POS,IsNumeric,Label,DocID,PrevToken,NextToken
$1.3 billion,CD,True,I-STOCK,889,fell,
$980 million,CD,True,I-STOCK,626,by,
released,IN,False,I-EARNINGS,385,Intel,its
by,IN,False,I-EARNINGS,910,estimates,$15.7 billion
plans,IN,False,I-ACQUISITION,207,announced,to
for,DT,False,O,146,,
talks,IN,False,I-MERGER,510,merger,with
on,DT,False,O,194,,
with,DT,False,O,487,,
completed,IN,False,I-ACQUISITION,274,Goldman Sachs,the
beat,IN,False,I-EARNINGS,410,Tesla,earnings
released,IN,False,I-EARNINGS,277,PayPal,its
estimates,IN,False,I-EARNINGS,257,earnings,by
Amazon,NNP,False,B-EARNINGS,383,,missed
price,IN,False,I-STOCK,42,stock,fell
to,IN,False,I-ACQUISITION,525,talks,acquire
and,DT,False,O,924,,
successfully,IN,False,I-ACQUISITION,799,Facebook,purchased
Citigroup,NNP,False,B-MERGER,522,,approved
Google,NNP,False,B-ACQUISITION,366,,completed
Goldman Sachs,NNP,False,I-ACQUISITION,46,of,
by,IN,False,I-EARNINGS,502,estimates,$750 million
Tesla,NNP,False,B-EARNINGS,939,,missed
$750 million,CD,True,I-STOCK,915,by,
its,IN,False,I-MERGER,298,completed,merger
on,DT,False,O,23,,
by,IN,False,I-STOCK,120,declined,$15.7 billion
Amazon,NNP,False,B-MERGER,768,,announced
fell,IN,False,I-STOCK,815,price,$2.4 billion
Intel,NNP,False,B-STOCK,572,,stock
Apple,NNP,False,B-ACQUISITION,229,,announced
price,IN,False,I-STOCK,669,stock,increased
$15.7 billion,CD,True,I-STOCK,660,surged,
estimates,IN,False,I-EARNINGS,200,earnings,by
with,DT,False,O,124,,
$980 million,CD,True,I-EARNINGS,418,of,
on,DT,False,O,603,,
by,DT,False,O,395,,
and,DT,False,O,590,,
and,DT,False,O,253,,
and,DT,False,O,323,,
or,DT,False,O,311,,
the,DT,False,O,475,,
annual,IN,False,I-EARNINGS,999,announced,revenue
the,IN,False,I-MERGER,319,approved,merger
Netflix,NNP,False,B-EARNINGS,387,,beat
in,IN,False,I-MERGER,995,is,merger
expectations,IN,False,I-EARNINGS,533,earnings,with
Tesla,NNP,False,B-EARNINGS,495,,missed
ongoing,IN,False,I-MERGER,834,confirmed,merger
with,DT,False,O,754,,
completed,IN,False,I-MERGER,978,Morgan Stanley,its
Morgan Stanley,NNP,False,I-ACQUISITION,310,acquire,
on,DT,False,O,851,,
at,DT,False,O,138,,
by,DT,False,O,92,,
with,DT,False,O,536,,
at,DT,False,O,83,,
Morgan Stanley,NNP,False,B-EARNINGS,780,,released
on,DT,False,O,428,,
Adobe,NNP,False,B-MERGER,860,,completed
in,IN,False,I-ACQUISITION,916,is,talks
announced,VBD,False,I-EARNINGS,32,Netflix,annual
announced,VBD,False,I-MERGER,347,Salesforce,a
for,DT,False,O,335,,
estimates,IN,False,I-EARNINGS,18,earnings,by
Apple,NNP,False,B-EARNINGS,61,,beat
or,DT,False,O,53,,
for,DT,False,O,409,,
Amazon,NNP,False,B-STOCK,324,,stock
missed,IN,False,I-EARNINGS,473,Intel,earnings
Salesforce,NNP,False,B-MERGER,915,,completed
Visa,NNP,False,B-STOCK,696,,stock
or,DT,False,O,65,,
IBM,NNP,False,B-MERGER,59,,confirmed
on,DT,False,O,872,,
merger,IN,False,I-MERGER,298,in,talks
missed,IN,False,I-EARNINGS,61,Tesla,earnings
Morgan Stanley,NNP,False,I-MERGER,69,between,
or,DT,False,O,277,,
missed,IN,False,I-EARNINGS,829,Google,earnings
Microsoft,NNP,False,I-MERGER,417,between,
Visa,NNP,False,B-STOCK,484,,stock
Adobe,NNP,False,B-ACQUISITION,333,,acquired
and,DT,False,O,475,,
quarterly,IN,False,I-EARNINGS,765,reported,earnings
with,DT,False,O,553,,
with,IN,False,I-MERGER,742,talks,Salesforce
the,IN,False,I-ACQUISITION,88,completed,acquisition
acquire,IN,False,I-ACQUISITION,636,to,Visa
for,DT,False,O,777,,
Facebook,NNP,False,B-STOCK,786,,stock
of,IN,False,I-EARNINGS,854,revenue,$5.2 billion
by,DT,False,O,911,,
with,IN,False,I-MERGER,693,talks,Apple
to,IN,False,I-ACQUISITION,10,plans,acquire
with,IN,False,I-MERGER,955,merger,Goldman Sachs
Google,NNP,False,B-STOCK,728,,shares
by,IN,False,I-EARNINGS,330,estimates,$2.4 billion
$2.4 billion,CD,True,I-STOCK,728,dropped,
$450 million,CD,True,I-EARNINGS,18,with,
$5.2 billion,CD,True,I-STOCK,971,by,
$15.7 billion,CD,True,I-STOCK,32,by,
talks,IN,False,I-MERGER,42,merger,with
Apple,NNP,False,B-EARNINGS,778,,missed
by,DT,False,O,305,,
beat,IN,False,I-EARNINGS,112,Morgan Stanley,earnings
JPMorgan,NNP,False,B-ACQUISITION,829,,completed
at,DT,False,O,740,,
$750 million,CD,True,I-STOCK,70,dropped,
at,DT,False,O,763,,
PayPal,NNP,False,I-ACQUISITION,92,of,
Q4,IN,False,I-EARNINGS,841,its,earnings
merger,IN,False,I-MERGER,218,a,with
to,IN,False,I-ACQUISITION,468,plans,acquire
in,DT,False,O,409,,
or,DT,False,O,731,,
revenue,IN,False,I-EARNINGS,854,annual,of
JPMorgan,NNP,False,I-MERGER,741,with,
earnings,IN,False,I-EARNINGS,654,beat,expectations
price,IN,False,I-STOCK,409,stock,increased
Bank of America,NNP,False,I-ACQUISITION,717,acquire,
plans,IN,False,I-ACQUISITION,124,announced,to
in,IN,False,I-ACQUISITION,111,is,talks
successfully,IN,False,I-ACQUISITION,612,Oracle,purchased
reported,VBD,False,I-EARNINGS,523,Facebook,quarterly
on,DT,False,O,737,,
$3.1 billion,CD,True,I-STOCK,51,by,
announced,VBD,False,I-ACQUISITION,476,Intel,plans
IBM,NNP,False,B-EARNINGS,914,,released
in,DT,False,O,47,,
by,DT,False,O,195,,
earnings,IN,False,I-EARNINGS,218,beat,expectations
price,IN,False,I-STOCK,786,stock,fell
for,DT,False,O,717,,
$2.4 billion,CD,True,I-STOCK,20,dropped,
the,IN,False,I-ACQUISITION,125,completed,acquisition
on,DT,False,O,91,,
on,DT,False,O,268,,
merger,IN,False,I-MERGER,571,its,with
with,DT,False,O,455,,
with,IN,False,I-MERGER,943,talks,Microsoft
merger,IN,False,I-MERGER,715,in,talks
$1.3 billion,CD,True,I-EARNINGS,701,with,
acquire,IN,False,I-ACQUISITION,309,to,Oracle
acquisition,IN,False,I-ACQUISITION,617,the,of
the,DT,False,O,302,,
on,DT,False,O,437,,
Q4,IN,False,I-EARNINGS,626,its,earnings
Goldman Sachs,NNP,False,I-MERGER,517,with,
by,IN,False,I-STOCK,240,declined,$450 million
is,IN,False,I-ACQUISITION,222,Bank of America,in
acquire,IN,False,I-ACQUISITION,900,to,JPMorgan
Netflix,NNP,False,I-MERGER,639,between,
with,IN,False,I-MERGER,121,merger,Tesla
revenue,IN,False,I-EARNINGS,476,annual,of
for,DT,False,O,589,,
Citigroup,NNP,False,I-MERGER,52,between,
Salesforce,NNP,False,B-ACQUISITION,158,,successfully
for,DT,False,O,52,,
PayPal,NNP,False,B-MERGER,226,,announced
is,IN,False,I-MERGER,286,IBM,in
acquire,IN,False,I-ACQUISITION,822,to,Google
and,DT,False,O,102,,
on,DT,False,O,917,,
acquire,IN,False,I-ACQUISITION,230,to,Oracle
with,DT,False,O,837,,
showing,IN,False,I-EARNINGS,663,earnings,$15.7 billion
the,DT,False,O,482,,
Salesforce,NNP,False,B-EARNINGS,125,,released
by,DT,False,O,942,,
in,IN,False,I-MERGER,308,is,merger
in,DT,False,O,861,,
talks,IN,False,I-MERGER,154,merger,with
for,DT,False,O,957,,
PayPal,NNP,False,B-STOCK,556,,stock
Adobe,NNP,False,I-ACQUISITION,602,acquired,
Apple,NNP,False,B-STOCK,302,,stock
on,DT,False,O,160,,
Adobe,NNP,False,B-MERGER,395,,announced
for,DT,False,O,439,,
to,IN,False,I-ACQUISITION,279,plans,acquire
shares,IN,False,I-STOCK,948,Adobe,dropped
in,IN,False,I-ACQUISITION,324,is,talks
by,DT,False,O,590,,
surged,IN,False,I-STOCK,537,stock,$15.7 billion
in,IN,False,I-ACQUISITION,506,is,talks
$3.1 billion,CD,True,I-STOCK,587,surged,
Morgan Stanley,NNP,False,B-STOCK,943,,stock
and,DT,False,O,223,,
showing,IN,False,I-EARNINGS,855,earnings,$450 million
$750 million,CD,True,I-STOCK,609,fell,
Bank of America,NNP,False,I-ACQUISITION,146,acquire,
or,DT,False,O,839,,
on,DT,False,O,45,,
the,DT,False,O,384,,
beat,IN,False,I-EARNINGS,654,Goldman Sachs,earnings
Salesforce,NNP,False,I-ACQUISITION,222,acquire,
Visa,NNP,False,B-ACQUISITION,875,,is
at,DT,False,O,642,,
or,DT,False,O,902,,
and,DT,False,O,640,,
price,IN,False,I-STOCK,705,stock,fell
the,IN,False,I-ACQUISITION,390,completed,acquisition
talks,IN,False,I-ACQUISITION,717,in,to
$5.2 billion,CD,True,I-EARNINGS,849,of,
or,DT,False,O,485,,
is,IN,False,I-ACQUISITION,836,Citigroup,in
by,DT,False,O,663,,
purchased,IN,False,I-ACQUISITION,910,successfully,Tesla
by,IN,False,I-EARNINGS,626,estimates,$1.3 billion
by,DT,False,O,666,,
or,DT,False,O,933,,
fell,IN,False,I-STOCK,245,price,$450 million
with,DT,False,O,239,,
announced,VBD,False,I-ACQUISITION,988,PayPal,plans
$2.4 billion,CD,True,I-STOCK,102,fell,
of,IN,False,I-EARNINGS,320,revenue,$15.7 billion
by,DT,False,O,34,,
quarterly,IN,False,I-EARNINGS,613,reported,earnings
Oracle,NNP,False,I-ACQUISITION,282,acquire,
its,IN,False,I-EARNINGS,256,released,Q4
approved,IN,False,I-MERGER,798,JPMorgan,the
by,IN,False,I-EARNINGS,278,estimates,$5.2 billion
shares,IN,False,I-STOCK,64,Amazon,dropped
earnings,IN,False,I-EARNINGS,786,quarterly,of
and,DT,False,O,600,,
with,DT,False,O,472,,
earnings,IN,False,I-EARNINGS,175,Q4,showing
expectations,IN,False,I-EARNINGS,555,earnings,with
Bank of America,NNP,False,B-STOCK,248,,shares
with,IN,False,I-MERGER,428,negotiations,Netflix
merger,IN,False,I-MERGER,574,its,with
with,IN,False,I-MERGER,715,talks,IBM
IBM,NNP,False,I-MERGER,464,with,
in,IN,False,I-ACQUISITION,906,is,talks
shares,IN,False,I-STOCK,377,IBM,declined
successfully,IN,False,I-ACQUISITION,101,Netflix,purchased
the,DT,False,O,268,,
with,IN,False,I-MERGER,594,negotiations,Facebook
Amazon,NNP,False,B-ACQUISITION,859,,is
of,IN,False,I-EARNINGS,901,revenue,$3.1 billion
or,DT,False,O,820,,
of,IN,False,I-EARNINGS,476,revenue,$980 million
dropped,IN,False,I-STOCK,343,shares,$5.2 billion
to,IN,False,I-ACQUISITION,821,plans,acquire
$2.4 billion,CD,True,I-STOCK,948,dropped,
and,DT,False,O,138,,
for,DT,False,O,742,,
Google,NNP,False,I-ACQUISITION,451,acquired,
in,DT,False,O,381,,
increased,IN,False,I-STOCK,386,price,by
by,IN,False,I-STOCK,339,increased,$3.1 billion
merger,IN,False,I-MERGER,519,the,between
merger,IN,False,I-MERGER,916,ongoing,negotiations
in,DT,False,O,693,,
and,DT,False,O,64,,
Q4,IN,False,I-EARNINGS,772,its,earnings
with,IN,False,I-MERGER,264,negotiations,JPMorgan
$450 million,CD,True,I-EARNINGS,472,with,
announced,VBD,False,I-EARNINGS,479,Bank of America,annual
Bank of America,NNP,False,I-MERGER,345,with,
for,DT,False,O,513,,
$1.3 billion,CD,True,I-EARNINGS,163,by,
at,DT,False,O,538,,
completed,IN,False,I-ACQUISITION,797,Visa,the
of,IN,False,I-EARNINGS,956,revenue,$1.3 billion
negotiations,IN,False,I-MERGER,255,merger,with
with,IN,False,I-MERGER,578,talks,Goldman Sachs
$2.4 billion,CD,True,I-EARNINGS,216,of,
in,DT,False,O,639,,
and,DT,False,O,611,,
with,DT,False,O,244,,
ongoing,IN,False,I-MERGER,806,confirmed,merger
and,DT,False,O,454,,
for,DT,False,O,115,,
at,DT,False,O,891,,
by,DT,False,O,748,,
at,DT,False,O,27,,
or,DT,False,O,685,,
for,DT,False,O,548,,
missed,IN,False,I-EARNINGS,368,Tesla,earnings
in,DT,False,O,914,,
Intel,NNP,False,B-MERGER,737,,approved
with,IN,False,I-EARNINGS,669,expectations,$750 million
in,DT,False,O,362,,
$1.3 billion,CD,True,I-EARNINGS,935,of,
Visa,NNP,False,B-ACQUISITION,387,,is
announced,VBD,False,I-ACQUISITION,176,Netflix,plans
Citigroup,NNP,False,B-MERGER,528,,announced
Tesla,NNP,False,B-EARNINGS,18,,released
with,DT,False,O,690,,
Goldman Sachs,NNP,False,I-ACQUISITION,744,acquire,
stock,IN,False,I-STOCK,167,Intel,price
price,IN,False,I-STOCK,264,stock,increased
announced,VBD,False,I-MERGER,180,Goldman Sachs,a
Amazon,NNP,False,B-STOCK,15,,shares
on,DT,False,O,202,,
by,DT,False,O,527,,
the,DT,False,O,464,,
the,IN,False,I-ACQUISITION,526,completed,acquisition
Salesforce,NNP,False,B-EARNINGS,730,,released
with,DT,False,O,159,,
between,IN,False,I-MERGER,960,merger,Apple
by,DT,False,O,86,,
for,DT,False,O,555,,
announced,VBD,False,I-EARNINGS,901,Amazon,annual
announced,VBD,False,I-ACQUISITION,333,Citigroup,plans
or,DT,False,O,690,,
the,DT,False,O,393,,
its,IN,False,I-MERGER,305,completed,merger
Q4,IN,False,I-EARNINGS,65,its,earnings
on,DT,False,O,456,,
estimates,IN,False,I-EARNINGS,732,earnings,by
Oracle,NNP,False,B-MERGER,995,,completed
to,IN,False,I-ACQUISITION,928,talks,acquire
Citigroup,NNP,False,B-ACQUISITION,298,,announced
by,DT,False,O,401,,
announced,VBD,False,I-ACQUISITION,826,Amazon,plans
of,IN,False,I-ACQUISITION,897,acquisition,Goldman Sachs
and,DT,False,O,310,,
for,DT,False,O,168,,
is,IN,False,I-MERGER,853,Microsoft,in
at,DT,False,O,19,,
negotiations,IN,False,I-MERGER,82,merger,with
or,DT,False,O,543,,
fell,IN,False,I-STOCK,521,price,$2.4 billion
missed,IN,False,I-EARNINGS,759,Intel,earnings
Salesforce,NNP,False,I-MERGER,264,with,
Apple,NNP,False,B-STOCK,442,,stock
Q4,IN,False,I-EARNINGS,84,its,earnings
approved,IN,False,I-MERGER,927,Netflix,the
released,IN,False,I-EARNINGS,698,Adobe,its
at,DT,False,O,376,,
by,DT,False,O,902,,
by,IN,False,I-STOCK,723,increased,$15.7 billion
price,IN,False,I-STOCK,645,stock,increased
revenue,IN,False,I-EARNINGS,530,annual,of
Apple,NNP,False,I-MERGER,200,between,
stock,IN,False,I-STOCK,731,Oracle,surged
and,DT,False,O,303,,
and,DT,False,O,671,,
the,DT,False,O,870,,
of,IN,False,I-ACQUISITION,122,acquisition,Intel
showing,IN,False,I-EARNINGS,678,earnings,$3.1 billion
$1.3 billion,CD,True,I-EARNINGS,532,with,
the,IN,False,I-ACQUISITION,146,completed,acquisition
at,DT,False,O,979,,
the,IN,False,I-MERGER,737,approved,merger
on,DT,False,O,153,,
its,IN,False,I-MERGER,515,completed,merger
in,DT,False,O,620,,
or,DT,False,O,1,,
negotiations,IN,False,I-MERGER,422,merger,with
merger,IN,False,I-MERGER,622,a,with
estimates,IN,False,I-EARNINGS,565,earnings,by
in,IN,False,I-ACQUISITION,893,is,talks
the,DT,False,O,857,,
the,DT,False,O,774,,
price,IN,False,I-STOCK,665,stock,increased
or,DT,False,O,482,,
Oracle,NNP,False,B-ACQUISITION,114,,successfully
the,DT,False,O,370,,
in,IN,False,I-ACQUISITION,982,is,talks
Adobe,NNP,False,B-EARNINGS,849,,reported
a,IN,False,I-MERGER,360,announced,merger
by,DT,False,O,418,,
and,DT,False,O,900,,
at,DT,False,O,793,,
Bank of America,NNP,False,I-MERGER,5,between,
in,IN,False,I-ACQUISITION,890,is,talks
Amazon,NNP,False,I-MERGER,865,with,
by,DT,False,O,964,,
Intel,NNP,False,B-ACQUISITION,301,,announced
the,DT,False,O,115,,
successfully,IN,False,I-ACQUISITION,887,Citigroup,purchased
$5.2 billion,CD,True,I-EARNINGS,760,showing,
Apple,NNP,False,B-STOCK,476,,shares
stock,IN,False,I-STOCK,31,Goldman Sachs,price
by,DT,False,O,625,,
reported,VBD,False,I-EARNINGS,721,Morgan Stanley,quarterly
approved,IN,False,I-MERGER,109,Amazon,the
Adobe,NNP,False,B-MERGER,362,,confirmed
on,DT,False,O,522,,
Tesla,NNP,False,B-STOCK,233,,shares
with,IN,False,I-MERGER,618,merger,Google
and,DT,False,O,671,,
the,DT,False,O,918,,
with,IN,False,I-MERGER,682,merger,Amazon
Intel,NNP,False,B-MERGER,672,,confirmed
Apple,NNP,False,B-ACQUISITION,151,,acquired
and,DT,False,O,30,,
in,IN,False,I-MERGER,949,is,merger
IBM,NNP,False,I-MERGER,115,between,
and,DT,False,O,982,,
with,DT,False,O,534,,
with,IN,False,I-MERGER,401,merger,Morgan Stanley
merger,IN,False,I-MERGER,935,a,with
or,DT,False,O,763,,
with,IN,False,I-MERGER,880,merger,Apple
declined,IN,False,I-STOCK,483,shares,by
$1.3 billion,CD,True,I-EARNINGS,703,showing,
in,DT,False,O,960,,
in,DT,False,O,459,,
on,DT,False,O,677,,
annual,IN,False,I-EARNINGS,610,announced,revenue
talks,IN,False,I-MERGER,392,merger,with
Apple,NNP,False,I-ACQUISITION,896,of,
plans,IN,False,I-ACQUISITION,544,announced,to
talks,IN,False,I-MERGER,963,merger,with
or,DT,False,O,711,,
in,IN,False,I-ACQUISITION,347,is,talks
$1.3 billion,CD,True,I-STOCK,902,dropped,
by,DT,False,O,518,,
with,DT,False,O,60,,
or,DT,False,O,308,,
at,DT,False,O,887,,
of,IN,False,I-EARNINGS,959,earnings,$750 million
for,DT,False,O,770,,
by,IN,False,I-STOCK,916,increased,$750 million
the,DT,False,O,872,,
acquisition,IN,False,I-ACQUISITION,317,the,of
Facebook,NNP,False,B-MERGER,162,,announced
$450 million,CD,True,I-EARNINGS,125,showing,
by,IN,False,I-EARNINGS,281,estimates,$980 million
talks,IN,False,I-MERGER,519,merger,with
Netflix,NNP,False,I-MERGER,152,with,
on,DT,False,O,335,,
with,DT,False,O,110,,
on,DT,False,O,458,,
at,DT,False,O,852,,
in,DT,False,O,735,,
with,DT,False,O,854,,
and,DT,False,O,682,,
to,IN,False,I-ACQUISITION,145,talks,acquire
for,DT,False,O,544,,
$5.2 billion,CD,True,I-EARNINGS,163,of,
for,DT,False,O,754,,
or,DT,False,O,60,,
by,IN,False,I-EARNINGS,536,estimates,$15.7 billion
earnings,IN,False,I-EARNINGS,270,missed,estimates
merger,IN,False,I-MERGER,987,a,with
and,DT,False,O,258,,
its,IN,False,I-MERGER,166,completed,merger
price,IN,False,I-STOCK,763,stock,increased
in,IN,False,I-ACQUISITION,670,is,talks
confirmed,IN,False,I-MERGER,63,Bank of America,ongoing
its,IN,False,I-MERGER,331,completed,merger
expectations,IN,False,I-EARNINGS,122,earnings,with
at,DT,False,O,879,,
the,DT,False,O,145,,
the,IN,False,I-MERGER,812,approved,merger
or,DT,False,O,206,,
for,DT,False,O,449,,
ongoing,IN,False,I-MERGER,934,confirmed,merger
by,DT,False,O,831,,
to,IN,False,I-ACQUISITION,492,talks,acquire
by,DT,False,O,274,,
by,IN,False,I-STOCK,659,increased,$5.2 billion
with,DT,False,O,355,,
stock,IN,False,I-STOCK,554,Google,surged
increased,IN,False,I-STOCK,714,price,by
completed,IN,False,I-MERGER,44,Amazon,its
merger,IN,False,I-MERGER,612,its,with
or,DT,False,O,324,,
dropped,IN,False,I-STOCK,929,shares,$450 million
for,DT,False,O,644,,
estimates,IN,False,I-EARNINGS,591,earnings,by
beat,IN,False,I-EARNINGS,224,Adobe,earnings
$980 million,CD,True,I-EARNINGS,425,of,
and,DT,False,O,928,,
in,DT,False,O,897,,
Oracle,NNP,False,I-ACQUISITION,55,acquire,
stock,IN,False,I-STOCK,269,JPMorgan,surged
with,DT,False,O,901,,
its,IN,False,I-EARNINGS,701,released,Q4
Google,NNP,False,I-ACQUISITION,89,acquire,
is,IN,False,I-MERGER,331,Tesla,in
earnings,IN,False,I-EARNINGS,404,beat,expectations
or,DT,False,O,551,,
shares,IN,False,I-STOCK,674,Visa,dropped
$450 million,CD,True,I-STOCK,525,fell,
PayPal,NNP,False,B-STOCK,419,,stock
by,DT,False,O,357,,
with,IN,False,I-MERGER,544,negotiations,Amazon
Adobe,NNP,False,B-ACQUISITION,738,,is
is,IN,False,I-MERGER,938,Morgan Stanley,in
$5.2 billion,CD,True,I-STOCK,224,by,
Netflix,NNP,False,B-ACQUISITION,921,,completed
negotiations,IN,False,I-MERGER,252,merger,with
announced,VBD,False,I-EARNINGS,696,Visa,annual
with,DT,False,O,327,,
Visa,NNP,False,B-MERGER,72,,completed
Microsoft,NNP,False,B-MERGER,497,,is
the,DT,False,O,887,,
for,DT,False,O,202,,
Netflix,NNP,False,B-ACQUISITION,976,,acquired
released,IN,False,I-EARNINGS,558,Bank of America,its
acquire,IN,False,I-ACQUISITION,506,to,PayPal
or,DT,False,O,689,,
Adobe,NNP,False,B-EARNINGS,717,,missed
Intel,NNP,False,I-MERGER,731,with,
the,DT,False,O,460,,
purchased,IN,False,I-ACQUISITION,496,successfully,Microsoft
reported,VBD,False,I-EARNINGS,49,Citigroup,quarterly
acquired,VBD,False,I-ACQUISITION,669,Tesla,Bank of America
between,IN,False,I-MERGER,164,merger,Adobe
of,IN,False,I-EARNINGS,21,earnings,$2.4 billion
a,IN,False,I-MERGER,710,announced,merger
merger,IN,False,I-MERGER,369,a,with
at,DT,False,O,112,,
with,IN,False,I-MERGER,361,talks,Citigroup
merger,IN,False,I-MERGER,322,a,with
$2.4 billion,CD,True,I-STOCK,370,by,
declined,IN,False,I-STOCK,848,shares,by
